recno,Name,Type,RAJ2000,DEJ2000,Vmag,l_FX,FX,Porb,GLON,GLAT,FX2
169,"HETE J1900.1-2455","T, P, B",285.0360416666666,-24.92047222222222,18.09, ,55.0,1.39,11.3,-12.9,
170,"4U 1905+000","T, B",287.112375,0.16880555555555554,20.5, ,10.0,,35.0,3.7,
171,"4U 1908+005","T, B, A, R",287.8166666666666,0.585,14.8,<,0.1,18.95,35.7,-4.1,1300
172,"XTE J1908+094","T, R",287.2211541666666,9.384694444444444,, ,100.0,,43.3,0.43,
173,"GRS 1915+105","T, D, M, R",288.79812499999997,10.945766666666666,, ,300.0,33.5,45.4,-0.22,
174,"4U 1916-05","B, A, D",289.69945833333327,-5.2380805555555545,21.0, ,25.0,0.83,31.4,-8.5,
175,"4U 1918+15","T",290.07083333333327,14.704999999999998,,<,5.0,,49.3,0.44,45
176,"XB 1940-04","B",295.6583333333333,-3.8999999999999995,,<,50.0,,35.3,-13.1,
177,"3A 1954+319","T",298.92637499999995,32.09697222222222,10.7,<,1.5,,68.4,1.93,80
178,"4U 1957+11","U",299.8508333333333,11.708999999999998,18.7, ,30.0,9.33,51.3,-9.3,
179,"GS 2000+25","T, U, R",300.7065833333333,25.23647222222222,18.2,<,0.5,8.26,63.4,-3.0,11000
180,"XTE J2012+381","T, U, R",303.15712499999995,38.183638888888886,21.33, ,160.0,,75.4,2.22,
181,"GS 2023+338","T, U, R",306.0158333333333,33.86755555555555,12.7, ,0.03,155.4,73.1,-2.1,20000
182,"XTE J2123-058","T, B, A, E",320.8105833333333,-5.79811111111111,16.8, ,110.0,5.96,46.5,-36.2,
183,"4U 2129+12","G, B?, D, E, R?",322.49295833333326,12.167472222222221,15.8, ,6.0,17.1,65.0,-27.3,
184,"CXO J212958.1+121002","G, B",322.4919166666666,12.167388888888887,, ,5.0,0.376,65.0,-27.3,
185,"4U 2129+47","B, E",322.8591666666666,47.28999999999999,16.4, ,9.0,5.24,91.6,-3.0,
186,"4U 2142+38","B, Z, R",326.1716666666666,38.32166666666666,14.7, ,450.0,236.2,87.3,-11.3,
187,"SAX J2224.9+5421","B",336.21666666666664,54.364999999999995,, ,,,102.6,-2.6,
